subcriteria,question,dept,nama_dokumen,no_sop_wi_std_form_other
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pengecekan PIB yang dibuat oleh PPJK,WIS-PUR-IMP-017
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pembelian Import ,WIS-PUR-001-IMP-001
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,Joblist Import,Joblist Import
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,Form Checklist Pengecekan PIB,FRM-PUR-IMP-018-002 
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pengendalian Dokumen Impor,WIS-PUR-IMP-006
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pemberitahuan Impor Barang (PIB) dengan skema Prenotifikasi,WIS-PUR-IMP-010
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PPC,WIS Expedisi Export,WIS-PPC-002-EXM-001
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Perubahan data Pemberitahuan Impor Barang ,WIS-PUR-IMP-016
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pengajuan Penetapan Klasifikasi Sebelum Impor,WIS-PUR-IMP-008
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pemenuhan dokumen import atas Nota Permintaan Dokumen (NPD),WIS-PUR-IMP-015
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pembuatan dan pengecakan PIB,WIS-PUR-001-IMP-003
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,STD Cara Pengisian form checklist PIB,STD-PUR-IMP-015
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,Form Master Kode Klasifikasi Barang Impor (HS Code),FRM-PUR-IMP-010-001
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,SOP Cara Evaluasi Master Kode Klasifikasi Barang (HS CODE),STD-PUR-IMP-010
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,WIS Pemeriksaan dan Penyerahan Dokumen COO,WIS-PUR-IMP-014 
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,Evident Form Checklist Keabsahan SKA atau COO,FRM-PUR-IMP-014-001 (Evident)
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PQD,SOP Cara Pengisian Checklist Keabsahan COO Invoice Declaration,STD-PUR-IMP-009 
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PPC,WIS Pengecekan PEB yang dibuat oleh PPJK,WIS-MKT-009
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PPC,STD Wraping Case Export,STD-PPC-84
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",PPC,Prosedur Wrapping,FRM-PPIC-FG-001.00
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,Daftar pelanggaran ,Daftar pelanggaran 
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,STD Mitigasi pelanggaran di bidang kepabeanan,a. STD-PUR-IMP-016
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,WIS Kontrol Penggunaan quota,b. WIS-PUR-IMP-011
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,WIS Penyampaian laporan realisasi PI,WIS-PUR-IMP-020
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,Evident Form Checklist Keabsahan SKA atau COO,FRM-PUR-IMP-014-001 (Evident)
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,WIS Pemeriksaan dan Penyerahan Dokumen COO,WIS-PUR-IMP-014 
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,WIS Pemenuhan dokumen import atas Nota Permintaan Dokumen (NPD),WIS-PUR-IMP-015
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,PQD,Form Master Kode Klasifikasi Barang Impor (HS Code),FRM-PUR-IMP-010-001
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",PQD,STD Permohonan Fasilitas Industri USDFS,STD-PUR-IMP-017
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",PQD,"STD Pengajuan Persetujuan Impor Besi, Baja dan produk Turunan",STD-PUR-IMP-012
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",GAF,STD Pemutakhiran data pada sistem OSS,STD-IRL-008
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",PQD,STD Pengajuan Produsen Importir (Komplementer),STD-PUR-IMP-014
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",PQD,STD Pengajuan Pembaharuan Fasilitas Returnable Package,STD-PUR-IMP-003 
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",PQD,WIS Kontrol Penggunaan quota,WIS-PUR-IMP-011
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",PQD,Form Master Kode Klasifikasi Barang Impor (HS Code),FRM-PUR-IMP-010-001
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",FIN,Prosedur Pembayaran ke Supplier,PRO-FIN-002
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",FIN,WIS Pembayaran Pemberitahuan Impor Barang (PIB) Secara Tunai,WIS-FIN-004
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",FIN,WIS Pembayaran Pemberitahuan Impor Barang (PIB) Secara Berkala,WIS-FIN-003
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",FIN,WIS Pemantauan Devisa Hasil Ekspor (DHE) ,WIS-FIN-005
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",FIN,Standar Pembayaran Tagihan Ekspor ,STD-FIN-001-003
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",FIN,Prosedur Penagihan Ke Customer,PRO-FIN-001
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",PQD,WIS Pembuatan dan pengecakan PIB,WIS-PUR-001-IMP-003
Sistem pengelolaan data perdagangan,"Apakah perusahaan memiliki kebijakan, prosedur dan/atau pedoman untuk pengelolaan catatan perdagangan? * ",ACC,Screenshort SAP (Code perusahaan dan data PIB),Screenshort SAP (Code perusahaan)
Sistem pengelolaan data perdagangan,"Apakah perusahaan memelihara sistem pengelolaan catatan perdagangan, termasuk sistem akuntansi yang memungkinkan DJBC untuk melakukan pemeriksaan sesuai dengan ketentuan yang berlaku yang ditujukan terutama untuk impor, ekspor barang, termasuk kegiatan pengiriman barang ekspor impor di dalam daerah pabean? * ",ACC,Manual Book SAP (Cover + daftar isi),Manual Book SAP (Cover + daftar isi)
Sistem pengelolaan data perdagangan,"Apakah perusahaan memelihara sistem pengelolaan catatan perdagangan, termasuk sistem akuntansi yang memungkinkan DJBC untuk melakukan pemeriksaan sesuai dengan ketentuan yang berlaku yang ditujukan terutama untuk impor, ekspor barang, termasuk kegiatan pengiriman barang ekspor impor di dalam daerah pabean? * ",ACC,Screenshort SAP (Code perusahaan dan data PIB),Screenshort SAP (Code perusahaan)
Sistem pengelolaan data perdagangan,"Apakah perusahaan memelihara sistem pengelolaan catatan perdagangan, termasuk sistem akuntansi yang memungkinkan DJBC untuk melakukan pemeriksaan sesuai dengan ketentuan yang berlaku yang ditujukan terutama untuk impor, ekspor barang, termasuk kegiatan pengiriman barang ekspor impor di dalam daerah pabean? * ",MIS,STD Permintaan Pemberian /Pencabutan Hak Akses Aplikasi dan Sistem,STD-MIS-001-003
Sistem pengelolaan data perdagangan,"Apakah sistem yang dikelola oleh perusahaan memiliki kemampuan yang memadai untuk secara aman mengakses, menyimpan/mengarsipkan (selama periode penyimpanan yang ditetapkan oleh peraturan yang berlaku), memproses, mengelola, mengambil, melindungi, dan melaporkan catatan terkait impor dan ekspor yang tepat waktu, akurat, lengkap, dan dapat diverifikasi, dengan prosedur yang jelas untuk tujuan kepabeanan? * ",ACC,STD  Penyimpanan dokumen pada gudang,STD-ACC-008
Sistem pengelolaan data perdagangan,"Apakah sistem yang dikelola oleh perusahaan memiliki kemampuan yang memadai untuk secara aman mengakses, menyimpan/mengarsipkan (selama periode penyimpanan yang ditetapkan oleh peraturan yang berlaku), memproses, mengelola, mengambil, melindungi, dan melaporkan catatan terkait impor dan ekspor yang tepat waktu, akurat, lengkap, dan dapat diverifikasi, dengan prosedur yang jelas untuk tujuan kepabeanan? * ",PQD,WIS Pengendalian Dokumen Impor,WIS-PUR-IMP-006
Sistem pengelolaan data perdagangan,Apakah sistem yang dimiliki dapat memfasilitasi pelacakan jejak audit/audit trail atas kegiatan kepabeanan atau pergerakan barang termasuk entri ke sistem akuntansi yang relevan? * ,ACC,Screenshort SAP (Code perusahaan dan data PIB),Screenshort SAP (Code perusahaan)
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,STD Penggunaan Hardware dan Software,STD-MIS-039
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,STD Permintaan Pemberian /Pencabutan Hak Akses Aplikasi dan Sistem,STD-MIS-001-003
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,IT Security Policy,4th Revision (26 Nov'24)
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,STD Panduan Penggunaan dan Review Super user,STD-MIS-059
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,Standar Panduan Review User Akses,STD-MIS-033
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,AEO,Struktur Organisasi Perusahaan,1 Januari 2025
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,AEO,Struktur Organisasi AEO,17 Desember 2024
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,ACC,Fix Assets Recognition R1,PRO-ACC-AM-004
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",AEO,Struktur Organisasi AEO,Struktur Organisasi AEO
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",AEO,Jobdesc per bagian organisasi AEO,Jobdesc per bagian organisasi AEO
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",QSA,PRO Internal Audit,PRO-DIR-005
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",MSU,"Penanganan, Investigasi, Pelaporan, Tindakan Perbaikan dan Pencegahan Insiden",PRO-LK3MR-007
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",PQD,Pembuatan & Pelaporan Voluntary Payment (VP),PRO-PUR-003
Sistem pengelolaan data perdagangan,Apakah perusahaan Anda memiliki prosedur untuk memeriksa file komputer (data terkini atau master data) dan apakah perusahaan anda mempertimbangkan risiko berikut:,PQD,Form Master Kode Klasifikasi Barang Impor (HS Code),FRM-PUR-IMP-010-001
Sistem pengelolaan data perdagangan,a. Pencatatan transaksi yang tidak benar dan/atau tidak lengkap dalam sistem akuntansi;,PQD,WIS Kontrol Penggunaan quota,WIS-PUR-IMP-011
Sistem pengelolaan data perdagangan,"b. Penggunaan informasi yang tidak tepat atau kedaluwarsa, seperti kode HS atau peraturan expired / over kuota * ",ACC,PRO Stock Opname   ,PRO-ACC-002
Kemampuan keuangan,Apakah perusahaan telah menyediakan laporan keuangan yang disusun berdasarkan prinsip akuntansi yang berlaku sesuai Standar Akuntansi Keuangan (PSAK)? * ,ACC,Laporan Keuangan 2022,Laporan Keuangan 2022
Kemampuan keuangan,Apakah perusahaan telah menyediakan laporan keuangan yang disusun berdasarkan prinsip akuntansi yang berlaku sesuai Standar Akuntansi Keuangan (PSAK)? * ,ACC,Laporan Keuangan 2023,Laporan Keuangan 2023
Kemampuan keuangan,Apakah posisi keuangan perusahaan mampu untuk memenuhi seluruh kewajiban-kewajiban atau komitmen-komitmen yang akan jatuh tempo? * ,ACC,FS Summary Tgl 22 Maret 2025,
