subcriteria,question,keterangan
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",
Sistem pengelolaan data perdagangan,"Apakah perusahaan memiliki kebijakan, prosedur dan/atau pedoman untuk pengelolaan catatan perdagangan? * ",
Sistem pengelolaan data perdagangan,"Apakah perusahaan memelihara sistem pengelolaan catatan perdagangan, termasuk sistem akuntansi yang memungkinkan DJBC untuk melakukan pemeriksaan sesuai dengan ketentuan yang berlaku yang ditujukan terutama untuk impor, ekspor barang, termasuk kegiatan pengiriman barang ekspor impor di dalam daerah pabean? * ",
Sistem pengelolaan data perdagangan,"Apakah sistem yang dikelola oleh perusahaan memiliki kemampuan yang memadai untuk secara aman mengakses, menyimpan/mengarsipkan (selama periode penyimpanan yang ditetapkan oleh peraturan yang berlaku), memproses, mengelola, mengambil, melindungi, dan melaporkan catatan terkait impor dan ekspor yang tepat waktu, akurat, lengkap, dan dapat diverifikasi, dengan prosedur yang jelas untuk tujuan kepabeanan? * ",
Sistem pengelolaan data perdagangan,Apakah sistem yang dimiliki dapat memfasilitasi pelacakan jejak audit/audit trail atas kegiatan kepabeanan atau pergerakan barang termasuk entri ke sistem akuntansi yang relevan? * ,
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",
Sistem pengelolaan data perdagangan,Apakah perusahaan Anda memiliki prosedur untuk memeriksa file komputer (data terkini atau master data) dan apakah perusahaan anda mempertimbangkan risiko berikut:,
Sistem pengelolaan data perdagangan,a. Pencatatan transaksi yang tidak benar dan/atau tidak lengkap dalam sistem akuntansi;,
Sistem pengelolaan data perdagangan,"b. Penggunaan informasi yang tidak tepat atau kedaluwarsa, seperti kode HS atau peraturan expired / over kuota * ",
Kemampuan keuangan,Apakah perusahaan telah menyediakan laporan keuangan yang disusun berdasarkan prinsip akuntansi yang berlaku sesuai Standar Akuntansi Keuangan (PSAK)? * ,
Kemampuan keuangan,Apakah posisi keuangan perusahaan mampu untuk memenuhi seluruh kewajiban-kewajiban atau komitmen-komitmen yang akan jatuh tempo? * ,
"Sistem konsultasi, kerjasama, dan komunikasi",Apakah perusahaan sudah menunjuk Manajer AEO yang akan bertanggung jawab pada sebelum dan sesudah perusahaan mendapatkan pengakuan sebagai AEO dan apakah Manajer AEO yang ditunjuk oleh perusahaan memiliki pengetahuan dan mengetahui tanggung jawab terkait AEO? * ,
"Sistem konsultasi, kerjasama, dan komunikasi","Apakah terdapat prosedur terkait dengan pencatatan atas perbedaan antara dokumen tertulis dan/atau data elektronik terkait dengan barang, sehingga kelebihan atau kekurangan/barang dan muatan tercatat dan dilaporkan kepada DJBC? Bagaimana perusahaan menjaga konsultasi dan kerjasama dengan DJBC tetap berlangsung secara berkelanjutan? * ",
"Sistem konsultasi, kerjasama, dan komunikasi",Apakah DJBC diberitahukan secara tepat waktu jika terjadi bencana atau keadaan darurat yang menyangkut barang untuk aktivitas kepabeanan? * ,
"Sistem pendidikan, pelatihan dan kepedulian","Apakah perusahaan mempunyai pelatihan internal yang terdokumentasi terkait keamanan perdagangan, antara lain yang berhubungan dengan risiko atas:",
"Sistem pendidikan, pelatihan dan kepedulian",a. keamanan perdagangan,
"Sistem pendidikan, pelatihan dan kepedulian","b. keamanan informasi,",
"Sistem pendidikan, pelatihan dan kepedulian",c. kepedulian terhadap segala potensi ancaman sesuai dengan nature of business perusahaan. Apakah perusahaan mengelola terkait dengan pelatihan-pelatihan yang dilakukan? * ,
"Sistem pendidikan, pelatihan dan kepedulian","Apakah perusahaan menyediakan, secara teratur, pendidikan dan pelatihan tentang risiko yang terkait dengan arus barang dalam rantai pasok perdagangan internasional? Apakah karyawan memahami dan mampu menerapkan proses yang diperlukan untuk memastikan keamanan barang? * ",
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",
"Sistem pendidikan, pelatihan dan kepedulian",Apakah ada materi pelatihan internal yang terdokumentasi tentang peraturan kepabeanan? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur perlindungan keamanan terhadap sistem? Apa saja yang diatur dalam prosedur tersebut?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah sistem perusahaan dilengkapi dengan perangkat keamanan untuk mencegah akses tidak sah?,
"Sistem pertukaran informasi, akses dan kerahasiaan","Apakah perusahaan memiliki prosedur yang tepat untuk memastikan bahwa semua informasi yang digunakan dalam proses cargo clearance mudah dibaca dan dipahami, lengkap dan akurat serta terlindungi dari pengiriman, penghapusan atau penginputan atas informasi yang tidak benar? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah terdapat Person in Charge (PIC) yang bertanggung jawab untuk menangani IT perusahaan?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Bagaimana prosedur penambahan/penghapusan user dalam sistem?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah semua user mempunyai perbedaan role?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah ada user yang bisa mengakses keseluruhan role? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur back up dan recovery?,
"Sistem pertukaran informasi, akses dan kerahasiaan","Jika ada, seberapa sering back up dilakukan?",
"Sistem pertukaran informasi, akses dan kerahasiaan",Apa saja data yang di-back-up dan di mana tempat penyimpanan data tersebut,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah perusahaan mempunyai prosedur dan mekanisme terkait ruang server? * ,
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai prosedur tertulis untuk menjamin integritas dan keamanan barang impor/ekspor selama proses pengangkutan, penanganan/handling, dan penyimpanan? * ",
Sistem keamanan kargo,"Apakah perusahaan mempunyai prosedur tertulis untuk menjamin integritas dan keamanan barang impor/ekspor selama proses pengangkutan, penanganan/handling, dan penyimpanan? * ",
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai prosedur untuk memastikan bahwa barang yang dimuat/diterima sesuai dengan data dan/atau informasi pada dokumen mengenai barang tersebut, termasuk berat, label, jumlah kotak, dan lain-lain?",
Sistem keamanan kargo,Apakah pemasok telah melakukan pemeriksaan atas barang yang dikirim dengan menggunakan purchase order dan/atau packing list?,
Sistem keamanan kargo,Apakah perusahaan melakukan pemeriksaan barang yang akan dikirim dengan menggunakan shipping order dan/atau packing list?,
Sistem keamanan kargo,"Apakah ada prosedur mengenai pembubuhan tanda tangan dan stempel pada dokumen penerimaan dan dokumen pengiriman, jika diperlukan? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai dan menyimpan pencatatan untuk mendokumentasikan terkait bagaimana perusahaan dapat mengontrol dan/atau memantau pengiriman barang untuk tujuan ekspor secara aman?,
Sistem keamanan kargo,"Apakah perusahaan mempunyai mekanisme untuk memastikan keamanan dan keselamatan pengiriman barang yang akan diekspor seperti pemantauan terhadap pengiriman, pemeriksaan barang di tempat, verifikasi dokumen atau pemeriksaan foto, pemeriksaan melalui video, dan lain-lain? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah ada prosedur tertulis untuk memastikan integritas dan keamanan kontainer?,
Sistem keamanan kargo,Apakah semua pemeriksaan alat angkut/ Instruments of International Traffic (IIT) dicatat dalam checklist? * ,
Sistem pengelolaan keamanan dan keselamatan,"Sebelum memuat/mengisi/ mengemas, semua Instruments of International Traffic (IIT) yang kosong menjalani pemeriksaan keamanan untuk memastikan strukturnya tidak dimodifikasi yang dapat digunakan untuk menyembunyikan barang selundupan.",
Sistem keamanan kargo,"Apakah pemeriksaan 7 titik untuk semua kontainer kosong dan unit load devices (ULD), dan pemeriksaan 8 titik untuk semua kontainer dan ULD berpendingin kosong, dilakukan sebelum pemuatan/pengisian? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur tertulis mengenai segel dengan tingkat keamanan tinggi yang menjelaskan bagaimana segel dikeluarkan dan dikendalikan di perusahaan dan selama transit?,
Sistem keamanan kargo,"Apakah dalam prosedur tersebut terdapat langkah-langkah yang harus diambil jika segel ditemukan dalam keadaan diubah, dirusak, atau memiliki nomor segel yang salah, termasuk dokumentasi berita acara, bagaimana komunikasi kepada mitra dagang bila hal tersebut terjadi, dan apakah terdapat investigasi atas insiden tersebut?",
Sistem keamanan kargo,"Apakah semua pengiriman kontainer AEO yang dapat disegel, diamankan dengan baik segera setelah pemuatan/pengisian/pengemasan dengan segel keamanan tingkat tinggi? (dalam hal ini jenis segel cable dan bolt yang memenuhi kualifikasi dapat diterima).",
Sistem keamanan kargo,"Apakah perusahaan telah mendokumentasikan sistem dan prosedur untuk memasang dan memeriksa segel, serta untuk melaporkan bila terdapat ketidaksesuaian atau perbedaan segel? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah kontainer disimpan di tempat yang aman untuk mencegah akses masuk atau gangguan yang tidak sah?,
Sistem keamanan kargo,Apakah ada prosedur pelaporan dan penanganan yang terdokumentasi dalam kasus adanya orang yang tidak sah ke dalam kontainer atau area penyimpanan kontainer? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan memiliki informasi tentang alat angkut dan identifikasi pengemudi sebelum pemuatan atau penerimaan barang?,
Sistem keamanan kargo,"Apakah perusahaan memiliki prosedur untuk menangani penyimpangan rute yang signifikan dan kedatangan terlambat di dok/area pemuatan, titik transfer, atau tujuan akhir? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur saat terjadi perbedaan/penyimpangan pada saat bongkar muat? * ,
Sistem keamanan kargo,Apakah perusahaan mempunyai prosedur saat terjadi perbedaan/penyimpangan pada saat bongkar muat? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai mekanisme untuk mencegah terjadinya manipulasi penyimpanan barang?,
Sistem keamanan kargo,"Apakah perusahaan melakukan stock opname, baik yang dilakukan terhadap keseluruhan barang atapun terhadap sebagian barang yang terjadwal? * ",
"Sistem pengelolaan keamanan dan keselamatan
Sistem keamanan kargo",Apakah area penyimpanan barang dan area bongkar muat dibatasi dari akses tamu/pegawai/kontraktor/ pihak lain yang tidak berhak? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah ada prosedur terdokumentasi untuk memastikan integritas dan keamanan alat angkut?,
Sistem keamanan pergerakan barang,"Apakah log aktivitas pelacakan dan pemantauan, atau teknologi yang setara (seperti GPS), digunakan untuk melacak alat angkut saat sedang dalam perjalanan ke perbatasan internasional? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan melakukan pemeriksaan alat angkut dan barang (bila diperlukan) untuk mencegah adanya penyembunyian barang yang mencurigakan atau yang tidak tertulis?,
Sistem keamanan pergerakan barang,Apakah catatan pemeriksaan alat angkut didokumentasikan dengan benar?,
Sistem keamanan pergerakan barang,Apakah ada pelatihan bagi karyawan untuk memahami tujuan pemeriksaan dan mempelajari teknik pemeriksaan?,
Sistem keamanan pergerakan barang,Apakah perusahaan memiliki mekanisme untuk melaporkan terkait adanya penyembunyian barang mencurigakan dalam alat angkut atau perubahan yang mencurigakan pada alat angkut? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah ada area aman untuk parkir alat angkut untuk mencegah masuknya orang yang tidak berwenang atau kerusakan lainnya?,
Sistem keamanan pergerakan barang,Apakah ada prosedur untuk melaporkan masuknya yang tidak sah ke area penyimpanan atau kerusakan alat angkut? * ,
Sistem pengelolaan keamanan dan keselamatan,"Apakah ada tindakan pengendalian administratif mengenai unit pengangkut yang membawa barang ekspor dan articles selama proses pengangkutan setelah pemuatan, dalam perjalanan ke titik ekspor?",
Sistem keamanan pergerakan barang,Apakah ada prosedur untuk melacak alat angkut? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai orang yang bertanggung jawab untuk memastikan keamanan di lokasi perusahaan?,
Sistem keamanan lokasi,Prosedur apa saja yang terdapat untuk mengelola keselamatan dan keamanan di lokasi perusahaan? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah bangunan perusahaan dapat mencegah masuknya orang tidak berwenang?,
Sistem keamanan lokasi,Apakah terdapat prosedur pemeriksaan dan perbaikan rutin bangunan dan siapa yang bertanggung jawab mengenai hal tersebut? Teknologi apa saja yang dipakai untuk memastikan keamanan di lokasi perusahaan?,
Sistem keamanan lokasi,"Apakah terdapat CCTV di area pintu, gudang, bongkar muat dan area parkir?",
Sistem keamanan lokasi,Apakah terdapat sistem alarm di area perusahaan?,
Sistem keamanan lokasi,Bagaimana akses masuk ke bagian gudang dan mekanisme apa yang dapat memastikan bahwa area gudang tidak dapat dimasuki oleh orang yang tidak berkepentingan? * ,
Sistem pengelolaan keamanan dan keselamatan,Bagaimana mekanisme pengawasan pintu gerbang dan akses keluar masuk lain di area perusahaan?,
Sistem keamanan lokasi,"Apakah perusahaan melakukan pencatatan terhadap kendaraan, orang dan barang (dokumen dan paket) yang masuk?",
Sistem keamanan lokasi,Bagaimana prosedur dan mekanismenya? Apakah perusahaan memberikan visitor card terhadap tamu atau kontraktor selama berada di lingkungan perusahaan?,
Sistem keamanan lokasi,Bagaimana pencatatan dan perlakuan perusahaan terhadap pihak-pihak tersebut?,
Sistem keamanan lokasi,Apa saja yang dicatat pada saat registrasi tamu pihak ketiga yang masuk ke area perusahaan? Bagaimana prosedur dan mekanisme perusahaan terhadap kontrol akses pegawai (contohnya ID Card dan Akses Elektronik) dan bagaimana pencabutan akses saat pegawai tersebut tidak lagi menjadi bagian dari perusahaan?,
Sistem keamanan lokasi,Apakah karyawan perusahaan mengetahui prosedur untuk mengidentifikasi akses masuk yang tidak sah dan orang yang tidak dikenal?,
Sistem keamanan lokasi,"Apakah perusahaan mempunyai mekanisme parkir kendaraan baik pegawai, tamu, dan kendaraan pengangkut?",
Sistem keamanan lokasi,Bagaimana prosedur yang terdapat di perusahaan saat terdapat orang yang tidak berkepentingan masuk/melakukan penerobosan ke lokasi perusahaan?,
Sistem keamanan lokasi,Apakah karyawan perusahaan mengetahui prosedur untuk mengidentifikasi akses masuk yang tidak sah dan orang yang tidak dikenal? * ,
"Sistem pengelolaan keamanan dan keselamatan
Sistem keamanan lokasi",Apakah perusahaan mempunyai prosedur manajemen kunci atau kontrol akses? * ,
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai penerangan yang memadai di area tertentu seperti gerbang keluar masuk, akses pintu lain, perimeter, area bongkar muat?",
Sistem keamanan lokasi,Apakah ada backup generator untuk memastikan bahwa pencahayaan tidak terdampak gangguan aliran listrik? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur patroli di lokasi perusahaan dan apakah menggunakan alat bantu patroli? * ,
Sistem keamanan lokasi,Apakah perusahaan mempunyai prosedur patroli di lokasi perusahaan dan apakah menggunakan alat bantu patroli? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai kebijakan kepegawaian yang berkaitan dengan persyaratan keamanan dan keselamatan?,
Sistem pengelolaan keamanan dan keselamatan,Apakah ada prosedur tertulis untuk filterisasi calon karyawan dan untuk melakukan pemeriksaan pada karyawan saat ini?,
Sistem keamanan pegawai,"Apakah informasi lamaran, seperti riwayat pekerjaan dan referensi, diverifikasi sebelum pekerjaan, yang disesuaikan menurut undang-undang?",
Sistem keamanan pegawai,Bagaimana perusahaan melakukan pengecekan secara berkala terhadap latar belakang dan perilaku pegawai terutama yang ditempatkan di posisi rawan? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah ada pencatatan atas semua karyawan yang bekerja di lokasi perusahaan?,
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai daftar posisi pegawai yang berada pada posisi kritikal misal penerimaan dan pemuatan barang, super user, dan lain-lain? * ",
Sistem keamanan pegawai,"Apakah perusahaan mempunyai daftar posisi pegawai yang berada pada posisi kritikal misal penerimaan dan pemuatan barang, super user, dan lain-lain? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan memverifikasi identifikasi individu dan riwayat pekerjaan sebelum mempekerjakan?,
Sistem pengelolaan keamanan dan keselamatan,Apakah ada kebijakan untuk dapat meninjau situasi di mana calon karyawan memiliki catatan kriminal? * ,
Sistem keamanan pegawai,Apakah ada kebijakan untuk dapat meninjau situasi di mana calon karyawan memiliki catatan kriminal? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah akses ke fasilitas dicabut dan apakah ID dibatalkan untuk karyawan yang ditangguhkan dan/atau diberhentikan?,
Sistem pengelolaan keamanan dan keselamatan,"Apakah bisnis melarang mantan karyawan memasuki lokasinya atau menggunakan sistem informasinya dari jarak jauh, kecuali jika diizinkan? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan menggunakan teknologi IT yang aman ketika karyawan mengakses sistem perusahaan dari luar kantor?,
Sistem pengelolaan keamanan dan keselamatan,Apakah karyawan memiliki identitas resmi yang diterbitkan perusahaan? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan memiliki prosedur tertulis yang menguraikan kriteria untuk mengevaluasi keamanan rantai pasok mitra dagang? * ,
Sistem keamanan mitra dagang,Apakah perusahaan memiliki prosedur tertulis yang menguraikan kriteria untuk mengevaluasi keamanan rantai pasok mitra dagang? * ,
Sistem pengelolaan keamanan dan keselamatan,"Apa cakupan dari evaluasi yang dibuat saat memilih mitra dagang, dan apakah sudah termasuk kriteria atau status AEO? * ",
Sistem keamanan mitra dagang,"Apa cakupan dari evaluasi yang dibuat saat memilih mitra dagang, dan apakah sudah termasuk kriteria atau status AEO? * ",
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mendorong mitra dagangnya untuk mengoptimalkan dan meningkatkan proses keamanan perdagangan mereka, serta mendokumentasikannya dalam prosedur atau perjanjian? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah ada proses untuk meninjau mitra dagang secara berkala dalam konteks membangun rantai pasok yang aman? * ,
Sistem keamanan mitra dagang,Apakah ada proses untuk meninjau mitra dagang secara berkala dalam konteks membangun rantai pasok yang aman? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan saudara mempunyai rencana kontingensi bila terjadi keadaan darurat?,
Sistem pengelolaan keamanan dan keselamatan,Dalam bentuk apa dan jelaskan?,
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai prosedur dan mekanisme untuk mengakomodir pelaporan, melakukan investigasi dan menganalisis terhadap percobaan pelanggaran keamanan yang dapat mengganggu kegiatan bisnis perusahaan?",
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai safety induction yang diberikan kepada pegawai (khususnya pegawai baru), kontraktor dan tamu sebagai bagian dari pemberitahuan mengenai rencana kontingensi perusahaan? Bagaimana isi dari safety induction tersebut? * ",
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan memiliki mekanisme internal untuk terus mengaudit/meninjau kegiatan impor/ekspor dan mendokumentasikan catatannya? * ,
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan melakukan kegiatan monitoring mandiri secara berkala terhadap kriteria AEO Apakah perusahaan menyimpan catatan kegiatan monitoring mandiri? * ,
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan melakukan audit internal untuk menilai kepatuhan berkelanjutan terhadap kriteria AEO? * ,
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan memiliki mekanisme internal untuk terus meningkatkan dan melakukan perbaikan terkait kegiatan impor/ekspor dan mengatasi masalah yang diidentifikasi dalam audit/review?,
"Sistem pengukuran, analisis dan peningkatan",Apakah perusahaan telah menerapkan mekanisme untuk melakukan pertanggungjawaban ketika aktivitas perusahaan tidak sesuai dengan persyaratan AEO?,
"Sistem pengukuran, analisis dan peningkatan",Apakah tindakan korektif yang diperlukan oleh DJBC telah dilakukan oleh penanggung jawab/perwakilan legal/atau manajer senior yang bertanggung jawab atas urusan kepabeanan? * ,
Surat Permohonan *,Surat permohonan harus ditandatangani oleh pimpinan perusahaan ,
Informasi umum dan formulir isian penilaian mandiri kualitatif *,Informasi umum dan formulir isian penilaian mandiri kualitatif sesuai lampiran Peraturan Menteri Keuangan tentang AEO yang telah diisi lengkap ,
Surat pernyataan kesediaan untuk menjadi AEO *,Surat pernyataan kesediaan untuk menjadi AEO yang harus ditandatangani oleh pimpinan perusahaan sesuai lampiran Peraturan Menteri Keuangan tentang AEO ,
Struktur organisasi *,Struktur organisasi lengkap yang menggambarkan hirarki pada perusahaan ,
"Tata letak kantor, pabrik, gudang, dan lokasi lain *","Denah perusahaan termasuk kantor, pabrik, gudang, dan lokasi lain ",
Akta pendirian perusahaan dan akta perubahan terakhir *,Akta pendirian perusahaan dan akta perubahan terakhir yang disahkan oleh notaris ,
Surat Keputusan tentang fasilitas kepabeanan dan fiskal dari kementerian terkait,Surat Keputusan tentang fasilitas kepabeanan dan fiskal dari kementerian terkait yang dimiliki (jika ada) ,
Sertifikat atau pengakuan sebagai AEO dari negara lain,Sertifikat atau pengakuan sebagai AEO dari negara lain yang dimiliki oleh perusahaan atau induk perusahaan ,
Surat keterangan fiskal *,Surat keterangan fiskal yang memuat informasi yang diberikan oleh Direktorat Jenderal Pajak mengenai kepatuhan Wajib Pajak selama periode tertentu untuk memenuhi persyaratan memperoleh pelayanan atau dalam rangka pelaksanaan kegiatan tertentu ,
Dokumen lainnya,"Dokumen lainnya, seperti profil Operator Ekonomi, sertifikat dari organisasi internasional untuk standardisasi, International Ship and Port Facility Security Code, dan/atau Regulated Agent/Known Consignor ",
